0	-25.89	104.45	-113.54
1	-45.91	103.88	-113.79
2	55.00	103.31	-113.29
3	34.49	103.57	-113.43
4	14.44	103.58	-113.53
5	-5.67	103.65	-113.43
6	14.83	123.76	-113.44
7	-5.37	123.83	-113.74
8	-25.35	123.78	-113.52
9	-46.13	124.06	-113.75
10	54.95	123.08	-113.23
11	34.98	123.23	-113.40
0	54.63	122.57	-28.29
1	54.61	102.78	-28.63
2	34.69	122.68	-28.41
3	14.54	123.24	-28.34
4	-5.77	123.31	-28.44
5	-25.70	123.23	-28.18
6	-46.45	123.52	-28.37
7	14.10	103.07	-28.40
8	-6.03	103.11	-28.36
9	-26.23	103.89	-28.33
10	-46.33	103.37	-28.35
11	34.15	102.98	-28.46
0	54.89	122.55	57.33
1	34.95	122.59	57.31
2	14.84	123.16	57.71
3	-5.43	123.24	57.56
4	-25.38	123.22	58.02
5	-46.22	123.45	58.05
6	54.99	102.69	57.07
7	34.43	102.94	57.27
8	14.37	102.94	57.33
9	-5.71	103.07	57.67
10	-25.98	103.85	58.04
11	-46.02	103.33	58.12
